date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2017%20Jun%202025%2001:39:44%20GMT	https://ajh.college/g/ovo/index.html	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/index.0.delayed	(from )
21:39:46	7060/7060	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2001:39:45%20GMT	https://ajh.college/g/ovo/	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/index.html	(from )
21:39:46	1701/1701	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jun%202025%2001:39:45%20GMT	https://ajh.college/robots.txt		(from )
21:39:46	3750/3750	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jun%202025%2001:39:45%20GMT	https://ajh.college/js/main.js	C:/My%20Web%20Sites/OVO/ajh.college/js/main.js	(from https://ajh.college/g/ovo/)
21:39:46	502/502	---MCZ	200	added ('OK')	application/json	etag:W/%228e7921d66fb5085877561e39f3d58c05%22	https://ajh.college/g/ovo/appmanifest.json	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/appmanifest.json	(from https://ajh.college/g/ovo/)
21:39:46	3361/3361	---M--	200	added ('OK')	image/png	etag:%22573d0e6239cfee8d45fe712366f78ba2%22	https://ajh.college/g/ovo/icon-256.png	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/icon-256.png	(from https://ajh.college/g/ovo/)
21:39:47	76532/76532	---MCZ	200	added ('OK')	text/css	etag:W/%22505aa788defb10fd52ba3e1b9d6b9111%22	https://ajh.college/g/ovo/animate.css	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/animate.css	(from https://ajh.college/g/ovo/)
21:39:47	824/824	---MCZ	200	added ('OK')	text/css	etag:W/%226084a8c24a4757749b61a204ed587f0d%22	https://ajh.college/g/ovo/hmmg_layoutTransition.css	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/hmmg_layoutTransition.css	(from https://ajh.college/g/ovo/)
21:39:47	4873/4873	---MCZ	200	added ('OK')	text/css	etag:W/%22dfa5b824848b9e33357c2ec1d2d86ed7%22	https://ajh.college/g/ovo/jquery.gritter.css	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/jquery.gritter.css	(from https://ajh.college/g/ovo/)
21:39:47	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd81fdefdd0599621470a78b8b8245f1%22	https://ajh.college/g/ovo/jquery-3.4.1.min.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/jquery-3.4.1.min.js	(from https://ajh.college/g/ovo/)
21:39:47	65035/65035	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e56f7830ee155d8aa82e918dd4da4aad%22	https://ajh.college/g/ovo/GameAnalytics.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/GameAnalytics.js	(from https://ajh.college/g/ovo/)
21:39:48	12561/12561	---MCZ	200	added ('OK')	application/javascript	etag:W/%228fffe1a5892501aa7b310a7c20ac47f5%22	https://ajh.college/g/ovo/Tween.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/Tween.js	(from https://ajh.college/g/ovo/)
21:39:48	61011/61011	---MCZ	200	added ('OK')	application/javascript	etag:W/%22790a77b22671142c39f65af402f0e88c%22	https://ajh.college/g/ovo/html2canvas.min.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/html2canvas.min.js	(from https://ajh.college/g/ovo/)
21:39:48	12853/12853	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cf4ca3d504abd0bd8714f4eaddea1ec6%22	https://ajh.college/g/ovo/jquery.gritter.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/jquery.gritter.js	(from https://ajh.college/g/ovo/)
21:39:48	66025/66025	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227126448ce42f31c9cb80ebde5f69550%22	https://ajh.college/g/ovo/howler.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/howler.js	(from https://ajh.college/g/ovo/)
21:39:49	1485288/1485288	---MCZ	200	added ('OK')	application/javascript	etag:W/%220a0b976160a3fe4e0b3f0d6710162bd0%22	https://ajh.college/g/ovo/c2runtime.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/c2runtime.js	(from https://ajh.college/g/ovo/)
21:39:49	13446/13446	---MCZ	200	added ('OK')	application/javascript	etag:W/%22445287f3effa61828bc848f516caeced%22	https://ajh.college/g/ovo/sw.js	C:/My%20Web%20Sites/OVO/ajh.college/g/ovo/sw.js	(from https://ajh.college/g/ovo/)
21:39:49	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22684853c6-302c%22	https://ajh.college/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/OVO/ajh.college/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://ajh.college/g/ovo/)
21:39:49	3750/3750	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jun%202025%2001:39:49%20GMT	https://ajh.college/g/sitelock.js	C:/My%20Web%20Sites/OVO/ajh.college/g/sitelock.js	(from https://ajh.college/g/ovo/)
